X,Y,country,nThumbsUp,city,reportRating,confidence,reliability,latitude,globalid,type,uuid,roadType,magvar,subtype,street,reportDescription,objectid,pubMillis,longitude
16.625325,49.217451,EZ,,Brno,0,0,6,49.217451,{AF34D61D-732B-E870-D626-668FD8DA22DD},ROAD_CLOSED,c48e37d5-98bd-4bad-95e4-74c971952889,1,47,ROAD_CLOSED_EVENT,KrkoÅ¡kova,,961015,2023/09/13 08:16:28+00,16.625325
16.626745,49.218304,EZ,3,Brno,0,1,9,49.218304,{118FDABE-81A0-5D95-E822-73E2CAA8B0AE},ROAD_CLOSED,f08de39d-71b6-42d8-88a8-f31e8c477942,1,227,ROAD_CLOSED_EVENT,KrkoÅ¡kova,,961016,2023/09/13 08:16:28+00,16.626745
16.626363,49.218077,EZ,13,Brno,0,5,10,49.218077,{90484CC3-773E-3BC7-BABF-E8BEA20125F9},ROAD_CLOSED,31fb5065-62ae-49e3-bcd6-5c80cc47168f,1,47,ROAD_CLOSED_EVENT,KrkoÅ¡kova,,961017,2023/09/13 08:16:28+00,16.626363
16.626363,49.218077,EZ,11,Brno,0,5,10,49.218077,{755F8E17-B445-F3BD-653F-47244F580891},ROAD_CLOSED,74c32a83-517f-4c98-be08-95a5ae8e6585,1,227,ROAD_CLOSED_EVENT,KrkoÅ¡kova,,961019,2023/09/13 08:16:28+00,16.626363
16.62345,49.216347,EZ,5,Brno,0,2,10,49.216347,{159E0E84-7EDE-359D-D064-A9C43DED96E6},ROAD_CLOSED,ac5b742d-cbe3-4b40-9d0f-330efc5408d5,1,48,ROAD_CLOSED_EVENT,KrkoÅ¡kova,,961110,2023/09/13 09:19:13+00,16.62345
16.625325,49.217451,EZ,17,Brno,0,5,10,49.217451,{D3E5CE38-AEF0-486B-AFF0-B14E7AE27F8D},ROAD_CLOSED,5d8d3392-ee4d-4742-a2df-1d383c7e4707,1,228,ROAD_CLOSED_EVENT,KrkoÅ¡kova,,961111,2023/09/13 09:19:13+00,16.625325
16.624094,49.216726,EZ,7,Brno,0,5,10,49.216726,{0FE150CF-CE0B-EC04-A3BF-B5047AC8EED6},ROAD_CLOSED,51498aae-8a3f-4073-a56c-48c2f8e2c2bd,1,228,ROAD_CLOSED_EVENT,KrkoÅ¡kova,,961112,2023/09/13 09:19:13+00,16.624094
16.624094,49.216726,EZ,2,Brno,0,1,8,49.216726,{2307248F-7315-1057-89A2-C02CAE9153D8},ROAD_CLOSED,7f5da8a2-6e1a-42e2-b557-6be136860a15,1,48,ROAD_CLOSED_EVENT,KrkoÅ¡kova,,961113,2023/09/13 09:19:13+00,16.624094
16.591102,49.188978,EZ,20,Brno,0,5,10,49.188978,{32F28FAA-577A-2F50-1BED-F68E670B42C7},ROAD_CLOSED,6b87512f-7dfa-45df-bf3b-5e2bda109fe6,17,331,ROAD_CLOSED_EVENT,,,972901,2023/09/20 11:52:38+00,16.591102
16.590948,49.189167,EZ,14,Brno,0,5,10,49.189167,{F7EF32E3-6055-C293-6559-BE07049B0C92},ROAD_CLOSED,c502ff40-b188-48e2-94a9-4cb27e051170,17,151,ROAD_CLOSED_EVENT,,,972902,2023/09/20 11:52:38+00,16.590948
